ASIN,title,price,rating,review_count
B07TKKYLPL,TECLAST P80X Android 9.0 Tablet 8 Inch 8-Core A55 Processor AI Smart Acceleration Wide Viewing Angle HD IPS PowerVR GE8322 Intelligent Color Optimization 2GB RAM 32GB ROM SSD Dual-Band WiFi+Cameras,85.99,3.3,73
B085RLQN5Z,"Beelink U55 Mini PC Windows 10 Pro, Intel Core i3-5005U Processor 8GB RAM 128GB SSD, 4K HD Dual HDMI USB 3.0 Port, Dual Band WiFi Gigabit Ethernet BT 4.2 Support Auto Power On (Beelink U55 8GB/128GB)",278.89,4.0,31
B089N9186N,"AK3 Mini PC,Intel Celeron J4125 Processor(Up to 2.7GHz) Windows 10 Pro(64-bit),Micro Desktop Computer with 2 HDMI/VGA Port,8GB DDR4/120GB mSATA SSD,2.4G/5.0G Dual Band Wi-Fi,Bluetooth 4.2,4K UHD",229.99,4.3,42
B07Z8QMSZJ,"Mini PC, Intel Celeron J3455 Processor(up to 2.3GHz) Windows 10(64-bit) Mini Desktop Computer with HDMI/VGA Port,4GB DDR3/64GB eMMC,Gigabit Ethernet,Dual Band Wi-Fi,Bluetooth 4.2,4K HD",169.99,4.3,154
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B07CK9SHZG,Innovation Cooling Graphite Thermal Pad – Alternative to Thermal Paste/Grease (40 X 40mm),12.95,4.4,1683
B0754JNQBP,AMD YD190XA8AEWOF Ryzen Threadripper 1900X (8-core/16-thread) Desktop Processor,198.57,4.8,583
B086ML4XSD,Intel Core i9-10900 Desktop Processor 10 Cores up to 5.2 GHz LGA 1200 (Intel 400 Series Chipset) 65W,0.0,2.6,3
B08357VWB2,Intel NUC 10 Performance Kit – Intel Core i7 Processor (Tall Chassis),582.94,4.4,19
B088ZHFBMB,"2020 Newest Dell Inspiron 15 3000 PC Laptop: 15.6"" HD Anti-Glare LED-Backlit Nontouch Display, Intel 2-Core 4205U Processor, 8GB RAM, 256GB SSD + 1TB HDD, WiFi, Bluetooth, HDMI, Webcam,DVD-RW, Win 10",499.69,4.0,8
B07PND9T4F,Intel Core i7-4770 Quad-Core Desktop Processor 3.4 GHZ LGA 1150 8 MB Cache BX80646I74770 (Renewed),0.0,4.3,23
B086M4KSMW,"Intel Core i3-10320 Desktop Processor 4 Cores up to 4.6 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110320",162.0,0.0,0
B086MW76F8,"Intel Celeron G-5900 Desktop Processor 2 Cores 3.4 GHz LGA1200 (Intel 400 Series chipset) 58W, Model Number: BX80701G5900",47.07,0.0,0
B083GGZ6TG,Intel NUC 10 Performance Kit – Intel Core i7 Processor (Sleek Chassis),597.49,5.0,1
B00CO8TBQ0,"Intel Core i7-4770K Quad-Core Desktop Processor (3.5 GHz, 8 MB Cache, Intel HD graphics, BX80646I74770K)",327.98,4.7,1028
B0759FKH8K,Intel Core i5-8600K Desktop Processor 6 Cores up to 4.3 GHz Unlocked LGA 1151 300 Series 95W,235.99,4.8,898
B07RWFH2QW,"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E Processor, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (14-ds0060nr, Brilliant Black)",275.0,4.1,698
B07JFH771Y,Intel Core i9-9940X X-Series Processor 14 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC9),887.45,3.8,34
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B085NBFXFT,"EKWB EK-Quantum Magnitude CPU Water Block, AMD CPU (AM4), Full Nickel",265.95,1.0,1
B07RWFH2QW,"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E Processor, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (14-ds0060nr, Brilliant Black)",275.0,4.1,699
B07JFH771Y,Intel Core i9-9940X X-Series Processor 14 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC9),887.45,3.8,34
B07JGCSMJX,Intel Core i7-9800X X-Series Processor 8 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC3),0.0,4.7,18
B084S7TPZN,"Latest_Dell Inspiron 15 5000 15.6"" FHD Display Laptop, 10th Generation Intel Core i5-1035G1 Processor, 8GB RAM, 256GB SSD, Fingerprint Reader, Wireless+Bluetooth, HDMI，Window 10",629.0,3.0,1
B07XH9876R,"Lenovo Chromebook C340 2-in-1 Laptop, 15.6"" FHD (1920 X 1080) Touchscreen Display, Intel Pentium Gold 4417U Processor, 4GB DDR4 RAM, 32GB SSD, Chrome OS, 81T90003US, Mineral Grey",350.0,4.5,100
B089CZ7Q8D,"HP Prodesk 600 G4 Computer with 4.1 GHz Intel Hexa-core i5 Processor, 512 GB SSD/8 GB RAM/HDMI Flex/DVDR (Small Form Factor PC) - Windows 10 Pro",729.99,1.0,1
B01LZLPO1H,"Dell Optiplex 7010 Business Desktop Computer (Intel Quad Core i5 up to 3.8GHz Processor), 8GB RAM, 500GB HDD, DVD, Windows 10 Professional (Renewed)",149.0,4.1,227
B07RL94CYL,Intel Core i9-7920X X-Series Processor 12 Cores up to 4.3 GHz Turbo Unlocked LGA2066 X299 Series 140W (Tray),958.51,0.0,0
B0887WHLSW,"2020 HP Laptop, 17.3"" HD+ Screen, 10th Gen Intel Core i5-1035G1 Quad-Core Processor up to 3.60GHz, 8GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD, DVD-RW, HDMI, Wireless-AC, Bluetooth, Windows 10 Home, Black",570.0,5.0,1
B07XW266D9,"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi -XE350XBA-K01US - Silver",299.0,4.5,65
B073SJQW4B,"Lenovo ThinkCentre M73 Tiny Form Factor Business Desktop Computer, Intel Dual-Core G3220T Processor 2.60 GHz, 8GB RAM, 500GB HDD, WiFi, USB 3.0, VGA, Windows 10 Pro (Renewed)",158.0,4.3,47
B07VPGC74L,"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",598.0,4.5,46
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B0788F25WB,"Zeshan Pop up Outlet Desktop Connection Box with 2 Independent Power, USB, RJ45, VGA, HDMI, 3.5mm Audio for Office Silver",59.99,3.9,21
B07XW266D9,"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi -XE350XBA-K01US - Silver",299.0,4.5,65
B073SJQW4B,"Lenovo ThinkCentre M73 Tiny Form Factor Business Desktop Computer, Intel Dual-Core G3220T Processor 2.60 GHz, 8GB RAM, 500GB HDD, WiFi, USB 3.0, VGA, Windows 10 Pro (Renewed)",158.0,4.3,47
B07VPGC74L,"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",598.0,4.5,46
